card_id,product_id,name,set_id,set_name,number,rarity,pairing,premium_price,base_price,ratio,gap_usd,flags
pl2-27,87142,Mamoswine GL,pl2,Rising Rivals,27,Rare,Reverse Holofoil / Normal,6.23,1.87,3.3315508021390374,4.36,
pl2-100,87365,Metal Energy,pl2,Rising Rivals,100,Uncommon,Reverse Holofoil / Normal,0.96,0.33,2.9090909090909087,0.6299999999999999,penny
pl2-28,87597,Mr. Mime E4,pl2,Rising Rivals,28,Rare,Reverse Holofoil / Normal,10.67,0.95,11.23157894736842,9.72,penny
pl2-69,87639,Munchlax,pl2,Rising Rivals,69,Common,Reverse Holofoil / Normal,60.0,10.88,5.514705882352941,49.12,
pl2-70,87640,Munchlax,pl2,Rising Rivals,70,Common,Reverse Holofoil / Normal,45.98,9.88,4.653846153846153,36.099999999999994,
pl2-29,87698,Nidoking,pl2,Rising Rivals,29,Rare,Reverse Holofoil / Normal,14.29,7.46,1.9155495978552277,6.829999999999999,
pl2-30,87709,Nidoqueen,pl2,Rising Rivals,30,Rare,Reverse Holofoil / Normal,6.44,3.94,1.634517766497462,2.5000000000000004,
pl2-71,87719,Nidoran ♀,pl2,Rising Rivals,71,Common,Reverse Holofoil / Normal,4.88,0.64,7.625,4.24,penny
pl2-72,87728,Nidoran ♂,pl2,Rising Rivals,72,Common,Reverse Holofoil / Normal,1.17,0.31,3.7741935483870965,0.8599999999999999,penny
pl2-73,87737,Nidorina,pl2,Rising Rivals,73,Common,Reverse Holofoil / Normal,2.86,0.47,6.085106382978723,2.3899999999999997,penny
pl2-74,87746,Nidorino,pl2,Rising Rivals,74,Common,Reverse Holofoil / Normal,12.09,0.34,35.55882352941176,11.75,penny
pl2-75,87826,Nuzleaf,pl2,Rising Rivals,75,Common,Reverse Holofoil / Normal,1.53,0.29,5.275862068965518,1.24,penny
,88224,Pokemon Contest Hall,,,,,Reverse Holofoil / Normal,2.98,0.3,9.933333333333334,2.68,penny
pl2-76,88476,Quagsire GL,pl2,Rising Rivals,76,Common,Reverse Holofoil / Normal,17.5,1.31,13.358778625954198,16.19,
pl2-31,88527,Raichu GL,pl2,Rising Rivals,31,Rare,Reverse Holofoil / Normal,36.06,7.04,5.122159090909091,29.020000000000003,
pl2-47,88588,Rapidash E4,pl2,Rising Rivals,47,Uncommon,Reverse Holofoil / Normal,4.37,1.1,3.9727272727272727,3.27,
pl2-32,88748,Rhyperior E4,pl2,Rising Rivals,32,Rare,Reverse Holofoil / Normal,2.3,0.83,2.7710843373493974,1.4699999999999998,penny
pl2-48,88966,Scizor E4,pl2,Rising Rivals,48,Uncommon,Reverse Holofoil / Normal,8.05,2.55,3.1568627450980395,5.500000000000001,
pl2-77,89033,Sealeo,pl2,Rising Rivals,77,Common,Reverse Holofoil / Normal,2.22,0.41,5.414634146341464,1.8100000000000003,penny
pl2-78,89044,Seedot,pl2,Rising Rivals,78,Common,Reverse Holofoil / Normal,2.62,0.32,8.1875,2.3000000000000003,penny
pl2-49,89100,Sharpedo,pl2,Rising Rivals,49,Uncommon,Reverse Holofoil / Normal,4.37,0.82,5.329268292682928,3.5500000000000003,penny
pl2-79,89143,Shellos East Sea,pl2,Rising Rivals,79,Common,Reverse Holofoil / Normal,5.39,1.47,3.6666666666666665,3.92,
pl2-80,89145,Shellos West Sea,pl2,Rising Rivals,80,Common,Reverse Holofoil / Normal,4.38,0.48,9.125,3.9,penny
pl2-33,89390,Snorlax,pl2,Rising Rivals,33,Rare,Reverse Holofoil / Normal,78.39,29.6,2.648310810810811,48.79,
pl2-81,89391,Snorlax,pl2,Rising Rivals,81,Common,Reverse Holofoil / Normal,75.0,15.62,4.801536491677337,59.38,
pl2-101,89433,SP Energy,pl2,Rising Rivals,101,Uncommon,Reverse Holofoil / Normal,0.69,0.45,1.5333333333333332,0.23999999999999994,penny
pl2-82,89449,Spheal,pl2,Rising Rivals,82,Common,Reverse Holofoil / Normal,9.52,4.15,2.2939759036144576,5.369999999999999,
pl2-50,89535,Starmie,pl2,Rising Rivals,50,Uncommon,Reverse Holofoil / Normal,1.42,0.65,2.1846153846153844,0.7699999999999999,penny
pl2-83,89551,Staryu,pl2,Rising Rivals,83,Common,Reverse Holofoil / Normal,1.92,0.31,6.193548387096774,1.6099999999999999,penny
pl2-51,89567,Steelix GL,pl2,Rising Rivals,51,Uncommon,Reverse Holofoil / Normal,14.94,0.9,16.599999999999998,14.04,penny
pl2-94,89625,Sunyshore City Gym,pl2,Rising Rivals,94,Uncommon,Reverse Holofoil / Normal,1.58,0.33,4.787878787878788,1.25,penny
,89808,Team Galactic's Invention G-107 Technical Mach. G,,,,,Reverse Holofoil / Normal,1.28,0.3,4.266666666666667,0.98,penny
pl2-96,89809,Team Galactic's Invention G-109 SP Radar,pl2,Rising Rivals,96,Uncommon,Reverse Holofoil / Normal,5.0,0.76,6.578947368421052,4.24,penny
pl2-84,90024,Trapinch,pl2,Rising Rivals,84,Common,Reverse Holofoil / Normal,7.4,0.37,20.0,7.03,penny
